stage,factor,strength,P_correct
confirmatory,clamp_leakage,0.0,1.0
confirmatory,clamp_leakage,0.25,0.9853333333333334
confirmatory,clamp_leakage,0.5,1.0
confirmatory,clamp_leakage,0.75,0.75
confirmatory,clamp_leakage,1.0,0.75
confirmatory,clamp_noise,0.0,0.9993333333333333
confirmatory,clamp_noise,0.25,0.9993333333333333
confirmatory,clamp_noise,0.5,1.0
confirmatory,clamp_noise,0.75,1.0
confirmatory,clamp_noise,1.0,0.998
confirmatory,measurement_error,0.0,1.0
confirmatory,measurement_error,0.25,0.9793333333333334
confirmatory,measurement_error,0.5,0.9726666666666667
confirmatory,measurement_error,0.75,0.9786666666666667
confirmatory,measurement_error,1.0,0.9339999999999999
confirmatory,latent_driver,0.0,1.0
confirmatory,latent_driver,0.25,0.9993333333333333
confirmatory,latent_driver,0.5,1.0
confirmatory,latent_driver,0.75,0.9913333333333334
confirmatory,latent_driver,1.0,0.75
confirmatory,weak_vo_coupling,0.0,0.9993333333333333
confirmatory,weak_vo_coupling,0.25,0.9993333333333333
confirmatory,weak_vo_coupling,0.5,1.0
confirmatory,weak_vo_coupling,0.75,1.0
confirmatory,weak_vo_coupling,1.0,1.0
confirmatory,colored_noise,0.0,0.9993333333333333
confirmatory,colored_noise,0.25,0.9993333333333333
confirmatory,colored_noise,0.5,0.9973333333333333
confirmatory,colored_noise,0.75,0.8260000000000001
confirmatory,colored_noise,1.0,0.9933333333333334
confirmatory,parameter_drift,0.0,1.0
confirmatory,parameter_drift,0.25,1.0
confirmatory,parameter_drift,0.5,1.0
confirmatory,parameter_drift,0.75,0.9986666666666667
confirmatory,parameter_drift,1.0,0.9973333333333333
confirmatory,compound,0.0,1.0
confirmatory,compound,0.25,1.0
confirmatory,compound,0.5,0.75
confirmatory,compound,0.75,0.75
confirmatory,compound,1.0,0.75
