stage,factor,strength,P_correct
pilot,clamp_leakage,0.0,0.9249999999999999
pilot,clamp_leakage,0.25,0.958
pilot,clamp_leakage,0.5,0.996
pilot,clamp_leakage,0.75,0.75
pilot,clamp_leakage,1.0,0.75
pilot,clamp_noise,0.0,0.992
pilot,clamp_noise,0.25,0.997
pilot,clamp_noise,0.5,0.886
pilot,clamp_noise,0.75,0.976
pilot,clamp_noise,1.0,0.8220000000000001
pilot,measurement_error,0.0,1.0
pilot,measurement_error,0.25,0.925
pilot,measurement_error,0.5,0.9179999999999999
pilot,measurement_error,0.75,0.819
pilot,measurement_error,1.0,0.7869999999999999
pilot,latent_driver,0.0,0.962
pilot,latent_driver,0.25,0.999
pilot,latent_driver,0.5,0.972
pilot,latent_driver,0.75,0.813
pilot,latent_driver,1.0,0.823
pilot,weak_vo_coupling,0.0,0.908
pilot,weak_vo_coupling,0.25,0.962
pilot,weak_vo_coupling,0.5,0.97
pilot,weak_vo_coupling,0.75,0.989
pilot,weak_vo_coupling,1.0,0.986
pilot,colored_noise,0.0,0.983
pilot,colored_noise,0.25,0.989
pilot,colored_noise,0.5,0.873
pilot,colored_noise,0.75,0.983
pilot,colored_noise,1.0,0.998
pilot,parameter_drift,0.0,0.988
pilot,parameter_drift,0.25,0.983
pilot,parameter_drift,0.5,0.999
pilot,parameter_drift,0.75,0.972
pilot,parameter_drift,1.0,0.978
pilot,compound,0.0,0.922
pilot,compound,0.25,0.957
pilot,compound,0.5,0.75
pilot,compound,0.75,0.75
pilot,compound,1.0,0.75
