stage,mode,condition,n,seed_formula,first_seed,last_seed,group_sha256
pilot,shared_boundary,core,40,SHA256(version|stage|mode|condition|index)->uint32,3258131242,2344389557,5c62f2f2f907bd771080effcd5335fbf4a44ce07f913943ce406ad771d99fed2
pilot,shared_boundary,clamp_leakage,40,SHA256(version|stage|mode|condition|index)->uint32,3421159619,3938028097,0a2aab96d537a21c43a3c616f76f7bfcd12af66a8e955b2d41e68b3b7972a958
pilot,shared_boundary,clamp_noise,40,SHA256(version|stage|mode|condition|index)->uint32,4220989426,3323525462,f2c5f17e0e81a81283cde7a03d192884a8a53c74f4bf812391d0813385429224
pilot,shared_boundary,measurement_error,40,SHA256(version|stage|mode|condition|index)->uint32,2439547507,1020102234,18bcdf8e8c98cfa97e348631d264dc29d055473e650b70063b09b6d3e76018d1
pilot,shared_boundary,latent_driver,40,SHA256(version|stage|mode|condition|index)->uint32,1595611966,4065553030,68d50d8a24a90924bed9dc703747c25f7c7a81d1abee7bf4db5c22bdcd0459da
pilot,shared_boundary,weak_vo_coupling,40,SHA256(version|stage|mode|condition|index)->uint32,458928371,499890239,a904504a1039b157f4ba20d92a531fcaaf3e10f943b174d82eae0d7c95f54c61
pilot,shared_boundary,colored_noise,40,SHA256(version|stage|mode|condition|index)->uint32,1509305861,3597456079,bc22ec26c40d7b26c62d32b54836ab39475473836ddbf38e2207bc9718eb6b75
pilot,shared_boundary,parameter_drift,40,SHA256(version|stage|mode|condition|index)->uint32,1842329683,1189363799,1968ba17189c0c307a48b239a317d65c5de0d0e857c301dc28d8f3fad904e461
pilot,shared_boundary,compound,40,SHA256(version|stage|mode|condition|index)->uint32,3661274662,1266410767,48bcbbb52127f2ece6ae07c03536ac2de1c9f111a2f2f5b68e2e4ea80619269b
pilot,separate_boundary,core,40,SHA256(version|stage|mode|condition|index)->uint32,3476488605,3067317465,5be0b5034dc3f1e06ce2dee3323c93d3593bf50835e04d4f90ee2c597f70ca24
pilot,separate_boundary,clamp_leakage,40,SHA256(version|stage|mode|condition|index)->uint32,2429875670,2793422839,3f98569a8791dd9d20da0e2881e1b3f0c8d8f2ff939a629480db4c8affd48094
pilot,separate_boundary,clamp_noise,40,SHA256(version|stage|mode|condition|index)->uint32,3595633850,866880965,4bafd4f712f755047c110b614c132f4f881dc17b90064f1c1ff941fdce340b04
pilot,separate_boundary,measurement_error,40,SHA256(version|stage|mode|condition|index)->uint32,2688182522,433317087,c677fc8874926f8c5ae3ab153a754bd866ee9e226b422ac6c586553bcad10bee
pilot,separate_boundary,latent_driver,40,SHA256(version|stage|mode|condition|index)->uint32,1142863290,2274551618,0a2cff10318decd77732a0bd98dc87adbaa7fecaf96c45fa64428fb77f082b67
pilot,separate_boundary,weak_vo_coupling,40,SHA256(version|stage|mode|condition|index)->uint32,1139058764,455118042,1883ab57a3bc883dd78ad4b803b0af5c40bd0bf11fd58363fdc1a09579a6a89b
pilot,separate_boundary,colored_noise,40,SHA256(version|stage|mode|condition|index)->uint32,3705680035,175429906,66202c87c11c2d7181fe6a7e160e5d8159e6216407c64493cc644197d9b832ac
pilot,separate_boundary,parameter_drift,40,SHA256(version|stage|mode|condition|index)->uint32,3300990,1331810998,b27c06439fd5bd6d6811ab1e475925b3012952ef2d2ba29dd0241813e0040bc2
