stage,mode,N,decision,all_primary_gates,dynamic_fraction,repair_mean,viability_drop_mean,viability_drop_LCB,viability_drop_UCB,opacity_effect_mean,opacity_effect_LCB,opacity_effect_UCB,JS_effect_mean,JS_effect_LCB,JS_effect_UCB,Gamma_int,Gamma_int_LCB,Gamma_int_UCB,Gamma_observational,sham_specificity_ratio,Lambda_H,Lambda_H_LCB,Lambda_H_UCB,history_total_effect,history_direct_effect_B_matched,G1_dynamic_range,G2_boundary_repair,G3_viability_sensitivity,G4_observability_sensitivity,G5_interventional_coupling,G6_sham_specificity,G7_history_dependence
development,M0_coupled_PH,64,PH_SIGNATURE_POSITIVE,True,1.0,0.9906165801615907,0.31635884072321485,0.30649931917685524,0.32629425803329243,0.034716038955040246,0.03463712798314541,0.03479061985427925,0.11653316880890047,0.10629714389459068,0.12600129860540016,0.9117383934611699,0.8947234503914557,0.9267543305796995,0.9157054587828989,8.246462024806986,1.894677284766382,1.5151418603384306,2.332201174625721,0.1812308065781416,0.0,True,True,True,True,True,True,True
development,M1_split_boundary,64,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9906165801615907,0.30539033266022936,0.2958837708049199,0.3149205641533278,0.0,0.0,0.0,-0.0007215644410107671,-0.008291400550677534,0.006892634494903441,,,,0.21351241536994922,2.0344732263015666,1.894677284766382,1.5151418603384306,2.332201174625721,0.1812308065781416,0.0,True,True,True,False,False,True,True
development,M2_common_driver,64,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9906165801615907,-0.013153379875754538,-0.02698518352227265,0.0010103519135667696,0.0,0.0,0.0,0.0001759641399134644,-0.00677052143554756,0.006883680893852955,,,,0.9274209727118239,0.29315035307683845,1.0239715181678624,0.9662795526461294,1.082410523136655,0.0,0.0,True,True,False,False,False,False,False
development,M3_viability_only,64,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9906165801615907,0.31635884072321485,0.3065997282753845,0.3258989176672018,0.0,0.0,0.0,-0.0005006706326830137,-0.007768879488732526,0.006491957192160846,,,,,2.151392695655403,1.894677284766382,1.5151418603384306,2.332201174625721,0.1812308065781416,0.0,True,True,True,False,False,True,True
development,M4_observability_only,64,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9906165801615907,-0.01027861946945977,-0.019902631581507922,-0.0013187603461714643,0.034716038955040246,0.03464163999105367,0.03478655301687166,0.11653316880890047,0.10451085516028646,0.127082954937103,-0.04611917447433263,-0.14375496673617477,0.06822461426139541,0.8690839167477511,7.967371076335804,1.055234236165193,0.9784485373421098,1.1347942827713555,0.0,0.0,True,True,False,True,False,True,False
development,M5_sensor_artifact,64,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9906165801615907,-0.01027861946945977,-0.01952249475787467,0.00013123606964607145,0.0,0.0,0.0,0.00010280646049694482,-0.004675825141478878,0.0048448909138746775,,,,-0.17726002602891716,0.18760081486836214,1.055234236165193,0.9784485373421098,1.1347942827713555,0.0,0.0,True,True,False,False,False,False,False
development,M6_null,64,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9906165801615907,-0.01027861946945977,-0.018818923693433322,8.507772553575693e-05,0.0,0.0,0.0,-0.0005006706326830137,-0.007529824480800635,0.006441718341901246,,,,,0.18760081486836214,1.055234236165193,0.9784485373421098,1.1347942827713555,0.0,0.0,True,True,False,False,False,False,False
validation,M0_coupled_PH,128,PH_SIGNATURE_POSITIVE,True,1.0,0.9901311771410501,0.30923830051706186,0.30146611834657316,0.3173627395624681,0.034714220050914554,0.034669006581086334,0.0347598996194552,0.11817022620800649,0.10995548767485533,0.12629021919171193,0.8907832446727659,0.8790176883777014,0.9020856508346254,0.8588363491821953,8.232057983061797,1.965404497719393,1.6030661726537598,2.3840868961362074,0.1812308065781416,0.0,True,True,True,True,True,True,True
validation,M1_split_boundary,128,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9901311771410501,0.297107470786544,0.28973012257531566,0.30472130332796105,0.0,0.0,0.0,0.001334644110597575,-0.005150591407404955,0.007073135908009682,,,,0.15242053214854182,1.9649722494055508,1.965404497719393,1.6030661726537598,2.3840868961362074,0.1812308065781416,0.0,True,True,True,False,False,False,True
validation,M2_common_driver,128,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9901311771410501,-0.0023728229050269294,-0.018367632558498846,0.0139196163577298,0.0,0.0,0.0,-0.00034408374972748443,-0.0061760843368289485,0.00521108641214204,,,,0.8965211702616446,0.24917865756341634,1.0704594006178083,1.0308154355289023,1.1165541169119853,0.0,0.0,True,True,False,False,False,False,False
validation,M3_viability_only,128,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9901311771410501,0.30923830051706186,0.30225646967844955,0.31640674242253924,0.0,0.0,0.0,0.001098085761621055,-0.004275533113574112,0.0064046072644863405,,,,,2.072197384301228,1.965404497719393,1.6030661726537598,2.3840868961362074,0.1812308065781416,0.0,True,True,True,False,False,True,True
validation,M4_observability_only,128,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9901311771410501,-0.004913754061508731,-0.012645571849943181,0.0031812281359945163,0.034714220050914554,0.034673404886875495,0.0347582265005265,0.11817022620800649,0.11100320023006287,0.12744190053353777,-0.02436970685069087,-0.10618258283722869,0.050675854208367024,0.8003311546500194,7.981594272488495,1.0181540287258022,0.9927806453173262,1.0456042395433474,0.0,0.0,True,True,False,True,False,True,False
validation,M5_sensor_artifact,128,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9901311771410501,-0.004913754061508731,-0.012375083617814147,0.0029617621506108235,0.0,0.0,0.0,0.0005190380265088316,-0.0034619976241268054,0.004318320840683805,,,,-0.12835111920505762,0.23017173177760591,1.0181540287258022,0.9927806453173262,1.0456042395433474,0.0,0.0,True,True,False,False,False,False,False
validation,M6_null,128,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9901311771410501,-0.004913754061508731,-0.013382785860841876,0.003701841205807787,0.0,0.0,0.0,0.001098085761621055,-0.00443940965920326,0.006973386258618514,,,,,0.23017173177760591,1.0181540287258022,0.9927806453173262,1.0456042395433474,0.0,0.0,True,True,False,False,False,False,False
confirmatory,M0_coupled_PH,256,PH_SIGNATURE_POSITIVE,True,1.0,0.9909708914821064,0.31473865087466457,0.30960264164261414,0.319954140431256,0.03470487048485159,0.034650258138547205,0.03475133005371414,0.11189520591042883,0.1066894947797094,0.11618800419121128,0.9101792653772794,0.9016183967164878,0.91850548200395,0.9163437849486903,8.259611327251577,1.9287329419328747,1.6274038197519982,2.245700141289381,0.1812308065781416,0.0,True,True,True,True,True,True,True
confirmatory,M1_split_boundary,256,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9909708914821064,0.30558599773165007,0.3005220443388215,0.3107617006530442,0.0,0.0,0.0,-0.002912084635372229,-0.006481962618137276,0.0009812350992715031,,,,0.16754691173171882,2.0702234205223755,1.9287329419328747,1.6274038197519982,2.245700141289381,0.1812308065781416,0.0,True,True,True,False,False,True,True
confirmatory,M2_common_driver,256,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9909708914821064,-0.0059720028997527945,-0.022211965735805812,0.008070720506389089,0.0,0.0,0.0,-0.0025606618917975296,-0.005989085445830101,0.0005070692137078989,,,,0.9005267458823664,0.234188804173872,0.9955569470655736,0.975183625777994,1.0167985154432724,0.0,0.0,True,True,False,False,False,False,False
confirmatory,M3_viability_only,256,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9909708914821064,0.31473865087466457,0.30994316627590507,0.32026519799834396,0.0,0.0,0.0,-0.0025259919187882933,-0.005997530796550022,0.0010709065152044997,,,,,2.119680590794612,1.9287329419328747,1.6274038197519982,2.245700141289381,0.1812308065781416,0.0,True,True,True,False,False,True,True
confirmatory,M4_observability_only,256,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9909708914821064,-0.00012790886325683443,-0.005470704998717156,0.005642713869915479,0.03470487048485159,0.03465548886917649,0.03474858005812723,0.11189520591042883,0.10730244492439855,0.11695472107752042,-0.008114606415370632,-0.06235288577174235,0.04883485298079591,0.8673609251792099,7.965533695457729,0.9986776641312994,0.9851338583312499,1.0122063320592294,0.0,0.0,True,True,False,True,False,True,False
confirmatory,M5_sensor_artifact,256,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9909708914821064,-0.00012790886325683443,-0.005359950161670539,0.005129527779681043,0.0,0.0,0.0,-0.0019377867293991183,-0.004415970891579326,0.00027437604233460935,,,,-0.06810823069988144,0.19330345764200565,0.9986776641312994,0.9851338583312499,1.0122063320592294,0.0,0.0,True,True,False,False,False,False,False
confirmatory,M6_null,256,NEGATIVE_CONTROL_REJECTED,False,1.0,0.9909708914821064,-0.00012790886325683443,-0.004691327056013006,0.004953591264505374,0.0,0.0,0.0,-0.0025259919187882933,-0.006074962512825291,0.0007577264533093175,,,,,0.19330345764200565,0.9986776641312994,0.9851338583312499,1.0122063320592294,0.0,0.0,True,True,False,False,False,False,False
